Wed Feb 21 13:02:54 2018
###Command: takeoff###
[69084][PWM]: {'pwm.m4_pwm': 46670.0, 'pwm.m2_pwm': 47460.0, 'pwm.m3_pwm': 46645.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 49771.0}
[69134][PWM]: {'pwm.m4_pwm': 45900.0, 'pwm.m2_pwm': 45846.0, 'pwm.m3_pwm': 49909.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 43313.0}
[69184][PWM]: {'pwm.m4_pwm': 45539.0, 'pwm.m2_pwm': 44942.0, 'pwm.m3_pwm': 31960.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 56430.0}
[69234][PWM]: {'pwm.m4_pwm': 44155.0, 'pwm.m2_pwm': 48033.0, 'pwm.m3_pwm': 51416.0, 'pm.vbat': 3.346627712249756, 'pwm.m1_pwm': 41330.0}
[69284][PWM]: {'pwm.m4_pwm': 45002.0, 'pwm.m2_pwm': 47040.0, 'pwm.m3_pwm': 44313.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 50379.0}
[69334][PWM]: {'pwm.m4_pwm': 48093.0, 'pwm.m2_pwm': 44662.0, 'pwm.m3_pwm': 45119.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 51092.0}
[69384][PWM]: {'pwm.m4_pwm': 46585.0, 'pwm.m2_pwm': 48098.0, 'pwm.m3_pwm': 51012.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 45502.0}
[69434][PWM]: {'pwm.m4_pwm': 47213.0, 'pwm.m2_pwm': 46608.0, 'pwm.m3_pwm': 46568.0, 'pm.vbat': 3.320234775543213, 'pwm.m1_pwm': 50840.0}
[69484][PWM]: {'pwm.m4_pwm': 49357.0, 'pwm.m2_pwm': 45212.0, 'pwm.m3_pwm': 50458.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 45789.0}
[69534][PWM]: {'pwm.m4_pwm': 47324.0, 'pwm.m2_pwm': 47582.0, 'pwm.m3_pwm': 48092.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 47767.0}
[69584][PWM]: {'pwm.m4_pwm': 48952.0, 'pwm.m2_pwm': 46889.0, 'pwm.m3_pwm': 47998.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 46223.0}
[69634][PWM]: {'pwm.m4_pwm': 37419.0, 'pwm.m2_pwm': 56107.0, 'pwm.m3_pwm': 40683.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 51668.0}
[69684][PWM]: {'pwm.m4_pwm': 58366.0, 'pwm.m2_pwm': 32909.0, 'pwm.m3_pwm': 55886.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 33422.0}
[69734][PWM]: {'pwm.m4_pwm': 47650.0, 'pwm.m2_pwm': 51567.0, 'pwm.m3_pwm': 45098.0, 'pm.vbat': 3.320234775543213, 'pwm.m1_pwm': 49477.0}
[69784][PWM]: {'pwm.m4_pwm': 47127.0, 'pwm.m2_pwm': 51470.0, 'pwm.m3_pwm': 46154.0, 'pm.vbat': 3.3149561882019043, 'pwm.m1_pwm': 47672.0}
[69834][PWM]: {'pwm.m4_pwm': 52875.0, 'pwm.m2_pwm': 45295.0, 'pwm.m3_pwm': 48542.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 44413.0}
[69884][PWM]: {'pwm.m4_pwm': 43971.0, 'pwm.m2_pwm': 53308.0, 'pwm.m3_pwm': 42114.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 50157.0}
[69934][PWM]: {'pwm.m4_pwm': 48012.0, 'pwm.m2_pwm': 49046.0, 'pwm.m3_pwm': 47276.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 45342.0}
[69984][PWM]: {'pwm.m4_pwm': 45176.0, 'pwm.m2_pwm': 49906.0, 'pwm.m3_pwm': 44471.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 49287.0}
[70034][PWM]: {'pwm.m4_pwm': 41953.0, 'pwm.m2_pwm': 50058.0, 'pwm.m3_pwm': 46561.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 49433.0}
[70084][PWM]: {'pwm.m4_pwm': 46746.0, 'pwm.m2_pwm': 45333.0, 'pwm.m3_pwm': 46462.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 51043.0}
[70134][PWM]: {'pwm.m4_pwm': 52298.0, 'pwm.m2_pwm': 40495.0, 'pwm.m3_pwm': 33251.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 57966.0}
[70184][PWM]: {'pwm.m4_pwm': 31590.0, 'pwm.m2_pwm': 55679.0, 'pwm.m3_pwm': 57713.0, 'pm.vbat': 3.3149561882019043, 'pwm.m1_pwm': 36612.0}
[70234][PWM]: {'pwm.m4_pwm': 45867.0, 'pwm.m2_pwm': 49377.0, 'pwm.m3_pwm': 45224.0, 'pm.vbat': 3.3149561882019043, 'pwm.m1_pwm': 49900.0}
[70284][PWM]: {'pwm.m4_pwm': 51255.0, 'pwm.m2_pwm': 46732.0, 'pwm.m3_pwm': 39232.0, 'pm.vbat': 3.320234775543213, 'pwm.m1_pwm': 51397.0}
[70334][PWM]: {'pwm.m4_pwm': 43594.0, 'pwm.m2_pwm': 54000.0, 'pwm.m3_pwm': 49640.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 42107.0}
[70384][PWM]: {'pwm.m4_pwm': 50136.0, 'pwm.m2_pwm': 48849.0, 'pwm.m3_pwm': 37702.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 51713.0}
[70434][PWM]: {'pwm.m4_pwm': 47828.0, 'pwm.m2_pwm': 49684.0, 'pwm.m3_pwm': 44523.0, 'pm.vbat': 3.320234775543213, 'pwm.m1_pwm': 48214.0}
[70484][PWM]: {'pwm.m4_pwm': 46288.0, 'pwm.m2_pwm': 51422.0, 'pwm.m3_pwm': 45749.0, 'pm.vbat': 3.320234775543213, 'pwm.m1_pwm': 47887.0}
[70534][PWM]: {'pwm.m4_pwm': 49748.0, 'pwm.m2_pwm': 45612.0, 'pwm.m3_pwm': 42411.0, 'pm.vbat': 3.320234775543213, 'pwm.m1_pwm': 52664.0}
[70584][PWM]: {'pwm.m4_pwm': 46718.0, 'pwm.m2_pwm': 48247.0, 'pwm.m3_pwm': 46236.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 49460.0}
[70634][PWM]: {'pwm.m4_pwm': 54875.0, 'pwm.m2_pwm': 37365.0, 'pwm.m3_pwm': 52867.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 39583.0}
[70684][PWM]: {'pwm.m4_pwm': 35130.0, 'pwm.m2_pwm': 56526.0, 'pwm.m3_pwm': 29854.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 57154.0}
