Wed Feb 21 12:53:39 2018
###Command: takeoff###
[127500][PWM]: {'pwm.m3_pwm': 44076.0, 'pwm.m1_pwm': 51056.0, 'pwm.m4_pwm': 46529.0, 'pwm.m2_pwm': 47061.0, 'pm.vbat': 3.394134998321533}
[127550][PWM]: {'pwm.m3_pwm': 58127.0, 'pwm.m1_pwm': 30862.0, 'pwm.m4_pwm': 44809.0, 'pwm.m2_pwm': 45442.0, 'pm.vbat': 3.4046921730041504}
[127600][PWM]: {'pwm.m3_pwm': 56150.0, 'pwm.m1_pwm': 33308.0, 'pwm.m4_pwm': 48091.0, 'pwm.m2_pwm': 45202.0, 'pm.vbat': 3.4046921730041504}
[127650][PWM]: {'pwm.m3_pwm': 21088.0, 'pwm.m1_pwm': 58580.0, 'pwm.m4_pwm': 43150.0, 'pwm.m2_pwm': 51403.0, 'pm.vbat': 3.394134998321533}
[127700][PWM]: {'pwm.m3_pwm': 56948.0, 'pwm.m1_pwm': 30703.0, 'pwm.m4_pwm': 48640.0, 'pwm.m2_pwm': 42059.0, 'pm.vbat': 3.399413585662842}
[127750][PWM]: {'pwm.m3_pwm': 49859.0, 'pwm.m1_pwm': 46671.0, 'pwm.m4_pwm': 45135.0, 'pwm.m2_pwm': 48698.0, 'pm.vbat': 3.4046921730041504}
[127800][PWM]: {'pwm.m3_pwm': 49028.0, 'pwm.m1_pwm': 46601.0, 'pwm.m4_pwm': 48651.0, 'pwm.m2_pwm': 44415.0, 'pm.vbat': 3.394134998321533}
[127850][PWM]: {'pwm.m3_pwm': 47076.0, 'pwm.m1_pwm': 51530.0, 'pwm.m4_pwm': 45150.0, 'pwm.m2_pwm': 50082.0, 'pm.vbat': 3.399413585662842}
[127900][PWM]: {'pwm.m3_pwm': 56021.0, 'pwm.m1_pwm': 36885.0, 'pwm.m4_pwm': 48892.0, 'pwm.m2_pwm': 45509.0, 'pm.vbat': 3.383577823638916}
###Command: left###
[127950][PWM]: {'pwm.m3_pwm': 43132.0, 'pwm.m1_pwm': 56135.0, 'pwm.m4_pwm': 42486.0, 'pwm.m2_pwm': 50188.0, 'pm.vbat': 3.399413585662842}
[128000][PWM]: {'pwm.m3_pwm': 43833.0, 'pwm.m1_pwm': 53707.0, 'pwm.m4_pwm': 42866.0, 'pwm.m2_pwm': 48580.0, 'pm.vbat': 3.383577823638916}
[128050][PWM]: {'pwm.m3_pwm': 57334.0, 'pwm.m1_pwm': 40484.0, 'pwm.m4_pwm': 43705.0, 'pwm.m2_pwm': 44154.0, 'pm.vbat': 3.394134998321533}
[128100][PWM]: {'pwm.m3_pwm': 55878.0, 'pwm.m1_pwm': 35750.0, 'pwm.m4_pwm': 47552.0, 'pwm.m2_pwm': 44455.0, 'pm.vbat': 3.4046921730041504}
[128150][PWM]: {'pwm.m3_pwm': 27831.0, 'pwm.m1_pwm': 58272.0, 'pwm.m4_pwm': 40920.0, 'pwm.m2_pwm': 49973.0, 'pm.vbat': 3.399413585662842}
[128200][PWM]: {'pwm.m3_pwm': 56562.0, 'pwm.m1_pwm': 31380.0, 'pwm.m4_pwm': 48678.0, 'pwm.m2_pwm': 42145.0, 'pm.vbat': 3.4046921730041504}
[128250][PWM]: {'pwm.m3_pwm': 48246.0, 'pwm.m1_pwm': 48894.0, 'pwm.m4_pwm': 44208.0, 'pwm.m2_pwm': 49947.0, 'pm.vbat': 3.399413585662842}
[128300][PWM]: {'pwm.m3_pwm': 47165.0, 'pwm.m1_pwm': 49114.0, 'pwm.m4_pwm': 48788.0, 'pwm.m2_pwm': 43265.0, 'pm.vbat': 3.3888564109802246}
[128350][PWM]: {'pwm.m3_pwm': 43032.0, 'pwm.m1_pwm': 53159.0, 'pwm.m4_pwm': 43088.0, 'pwm.m2_pwm': 50348.0, 'pm.vbat': 3.4046921730041504}
[128400][PWM]: {'pwm.m3_pwm': 55675.0, 'pwm.m1_pwm': 36323.0, 'pwm.m4_pwm': 46561.0, 'pwm.m2_pwm': 47255.0, 'pm.vbat': 3.394134998321533}
###Command: right###
[128450][PWM]: {'pwm.m3_pwm': 43163.0, 'pwm.m1_pwm': 54366.0, 'pwm.m4_pwm': 45242.0, 'pwm.m2_pwm': 49803.0, 'pm.vbat': 3.394134998321533}
[128500][PWM]: {'pwm.m3_pwm': 58763.0, 'pwm.m1_pwm': 26197.0, 'pwm.m4_pwm': 49380.0, 'pwm.m2_pwm': 43033.0, 'pm.vbat': 3.383577823638916}
