time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, bat_volt, power_m1, power_m2, power_m3, power_m4, power_total
4150, 45830, 48173, 47354, 47768, 3.43108510971069, 1.7027131918443, 1.88853215432795, 1.8225773076681, 1.85578316308328, 7.26960581692362
4200, 44375, 46243, 45258, 45942, 3.42052793502808, 1.59178301846191, 1.73482632017551, 1.65869299198108, 1.71139458750838, 6.69669691812689
4250, 45391, 48987, 48736, 48173, 3.42052793502808, 1.6688811049576, 1.95514346467309, 1.9344913655721, 1.88853215432795, 7.44704808953074
4300, 43701, 47676, 47615, 45997, 3.41524934768677, 1.54156712624126, 1.84838039038604, 1.84347949058059, 1.71566520109368, 6.94909220830157
4350, 47589, 49333, 47445, 47451, 3.40997076034546, 1.84139239131912, 1.98377574690772, 1.82985265826931, 1.8303328177734, 7.48535361426954
4400, 44215, 47478, 47522, 46405, 3.41524934768677, 1.57979502273539, 1.83249424884681, 1.83601908151055, 1.74749796945887, 6.99580632255163
4450, 47360, 48582, 48227, 48798, 3.40997076034546, 1.82305659263082, 1.92186985312195, 1.89291845048724, 1.93958338602277, 7.57742828226277
4500, 44884, 47987, 47561, 46718, 3.40469217300415, 1.63019781414369, 1.87345937883565, 1.83914595536921, 1.7721006647447, 7.11490381309325
4550, 46333, 48776, 48390, 47784, 3.41524934768677, 1.74186089866943, 1.93777584170004, 1.90618673197336, 1.85707198257566, 7.44289545491849
4600, 45487, 47316, 46694, 46452, 3.41524934768677, 1.67625277372049, 1.81954317580524, 1.77020861191377, 1.75118223315262, 7.01718679459212
4650, 46889, 49547, 48307, 46657, 3.40997076034546, 1.78560835864833, 2.00157950325982, 1.89942520474377, 1.76729351323782, 7.45390657988974
4700, 45613, 47244, 47122, 46298, 3.40997076034546, 1.68595077425231, 1.81380064133067, 1.804089212553, 1.7391236762159, 7.04296430435187
4750, 47237, 49549, 48771, 47064, 3.40469217300415, 1.81324278264715, 2.00174623471222, 1.93736514329799, 1.79948067918449, 7.55183483984184
4800, 44036, 47799, 49537, 45747, 3.39941358566284, 1.56643308069696, 1.85828062230767, 2.00074594073388, 1.69629275408008, 7.12175239781859
4850, 48226, 48558, 47565, 47480, 3.40997076034546, 1.89283718056221, 1.9199062576593, 1.83946679799426, 1.83265440128153, 7.4848646374973
4900, 44800, 46186, 48021, 46696, 3.41524934768677, 1.62382913413504, 1.7303778487498, 1.87621049659814, 1.77036624758126, 7.00078372706424
4950, 46285, 48240, 48124, 45756, 3.40997076034546, 1.73810749697057, 1.89397510446732, 1.88455601791951, 1.69698840699554, 7.21362702635293
5000, 53739, 47144, 35450, 45018, 3.40997076034546, 2.36478432253377, 1.80583868919019, 0.988247497358498, 1.64038115870722, 6.79925166778968
5050, 31210, 48007, 55658, 47975, 3.40997076034546, 0.749315406384934, 1.87507746005795, 2.5400946894582, 1.87248883643376, 7.03697639233484
5100, 35510, 46785, 55372, 47778, 3.40997076034546, 0.99185355270488, 1.77738755015851, 2.51361179451368, 1.85658862733373, 7.1394415247108
5150, 57879, 52140, 17607, 46420, 3.39941358566284, 2.74994939415702, 2.22301982438876, 0.202083735791908, 1.74867341138901, 6.92372636572669
5200, 35835, 38369, 57629, 46627, 3.39941358566284, 1.01149441819088, 1.17085220978122, 2.72595842808392, 1.76493153739656, 6.67323659345258
5250, 42272, 54431, 47800, 47173, 3.39413499832153, 1.43757043777122, 2.42735458237307, 1.85836121107024, 1.80814600397532, 7.53143223518985
5300, 51881, 43848, 44914, 47762, 3.39941358566284, 2.20042946480599, 1.55245580228641, 1.63247512781777, 1.85529996122841, 7.24066035613858
5350, 46980, 51662, 49887, 46128, 3.39413499832153, 1.79281582626076, 2.18140929808376, 2.03001450441087, 1.72585671889544, 7.73009634765082
