time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, set_pwm, calc_volt_m1, calc_volt_m2, calc_volt_m3, calc_volt_m4
10600, 20172, 20172, 19894, 19894, 16384, 1.17958812993024, 1.17958812993024, 1.16333166056079, 1.16333166056079
10650, 20172, 20172, 20172, 20172, 16384, 1.17958812993024, 1.17958812993024, 1.17958812993024, 1.17958812993024
10700, 20449, 20449, 20172, 20172, 16640, 1.19578612279117, 1.19578612279117, 1.17958812993024, 1.17958812993024
10750, 20477, 20477, 20477, 20477, 16640, 1.19577412295325, 1.19577412295325, 1.19577412295325, 1.19577412295325
10800, 20754, 20754, 20477, 20477, 16896, 1.21194980455007, 1.21194980455007, 1.19577412295325, 1.19577412295325
10850, 20754, 20754, 20754, 20754, 16896, 1.21194980455007, 1.21194980455007, 1.21194980455007, 1.21194980455007
10900, 21029, 21029, 20754, 20754, 17152, 1.228008694222, 1.228008694222, 1.21194980455007, 1.21194980455007
10950, 21029, 21029, 21029, 21029, 17152, 1.228008694222, 1.228008694222, 1.228008694222, 1.228008694222
11000, 21303, 21303, 21029, 21029, 17408, 1.24400918793149, 1.24400918793149, 1.228008694222, 1.228008694222
11050, 21303, 21303, 21303, 21303, 17408, 1.24400918793149, 1.24400918793149, 1.24400918793149, 1.24400918793149
11100, 21576, 21576, 21303, 21303, 17664, 1.25995128567853, 1.25995128567853, 1.24400918793149, 1.24400918793149
11150, 21576, 21576, 21576, 21576, 17664, 1.25995128567853, 1.25995128567853, 1.25995128567853, 1.25995128567853
11200, 21847, 21847, 21576, 21576, 17920, 1.27577659150069, 1.27577659150069, 1.25995128567853, 1.25995128567853
11250, 21877, 21877, 21877, 21877, 17920, 1.27576636378567, 1.27576636378567, 1.27576636378567, 1.27576636378567
11300, 22148, 21877, 21877, 21877, 18176, 1.2915698416202, 1.27576636378567, 1.27576636378567, 1.27576636378567
11350, 22118, 22118, 22118, 22118, 18176, 1.29160189732285, 1.29160189732285, 1.29160189732285, 1.29160189732285
11400, 22418, 22148, 22148, 22148, 18432, 1.30731500403836, 1.2915698416202, 1.2915698416202, 1.2915698416202
11450, 22387, 22387, 22387, 22118, 18432, 1.30731041122012, 1.30731041122012, 1.30731041122012, 1.29160189732285
11500, 22686, 22418, 22418, 22418, 18688, 1.32294353562379, 1.30731500403836, 1.30731500403836, 1.30731500403836
11550, 22686, 22686, 22686, 22686, 18688, 1.32294353562379, 1.32294353562379, 1.32294353562379, 1.32294353562379
11600, 22954, 22686, 22686, 22686, 18944, 1.33857206720923, 1.32294353562379, 1.32294353562379, 1.32294353562379
11650, 22954, 22954, 22954, 22686, 18944, 1.33857206720923, 1.33857206720923, 1.33857206720923, 1.32294353562379
11700, 23220, 22954, 22954, 22954, 19200, 1.35408396796194, 1.33857206720923, 1.33857206720923, 1.33857206720923
11750, 23220, 23220, 23220, 22954, 19200, 1.35408396796194, 1.35408396796194, 1.35408396796194, 1.33857206720923
11800, 23485, 23220, 23220, 23220, 19456, 1.36953755329828, 1.35408396796194, 1.35408396796194, 1.35408396796194
11850, 23485, 23485, 23485, 23220, 19456, 1.36953755329828, 1.36953755329828, 1.36953755329828, 1.35408396796194
11900, 23781, 23517, 23517, 23517, 19712, 1.38488345021758, 1.36950944446268, 1.36950944446268, 1.36950944446268
11950, 23781, 23781, 23781, 23517, 19712, 1.38488345021758, 1.38488345021758, 1.38488345021758, 1.36950944446268
12000, 24044, 23781, 23781, 23781, 19968, 1.40019922110221, 1.38488345021758, 1.38488345021758, 1.38488345021758
12050, 24044, 24044, 24044, 23781, 19968, 1.40019922110221, 1.40019922110221, 1.40019922110221, 1.38488345021758
12100, 24011, 24011, 24011, 24011, 19968, 1.40021146230551, 1.40021146230551, 1.40021146230551, 1.40021146230551
12150, 24306, 24306, 24306, 24044, 20224, 1.41545675711655, 1.41545675711655, 1.41545675711655, 1.40019922110221
12200, 24306, 24306, 24306, 24306, 20224, 1.41545675711655, 1.41545675711655, 1.41545675711655, 1.41545675711655
12250, 24567, 24567, 24567, 24306, 20480, 1.4306560582606, 1.4306560582606, 1.4306560582606, 1.41545675711655
12300, 24567, 24567, 24567, 24567, 20480, 1.4306560582606, 1.4306560582606, 1.4306560582606, 1.4306560582606
12350, 24860, 24860, 24601, 24601, 20736, 1.4457164997093, 1.4457164997093, 1.43065452974048, 1.43065452974048
12400, 24860, 24860, 24860, 24860, 20736, 1.4457164997093, 1.4457164997093, 1.4457164997093, 1.4457164997093
12450, 25119, 25119, 25119, 24860, 20992, 1.46077846967811, 1.46077846967811, 1.46077846967811, 1.4457164997093
12500, 25119, 25119, 25119, 25119, 20992, 1.46077846967811, 1.46077846967811, 1.46077846967811, 1.46077846967811
12550, 25376, 25376, 25119, 25119, 21248, 1.47572413099852, 1.47572413099852, 1.46077846967811, 1.46077846967811
12600, 25376, 25376, 25376, 25376, 21248, 1.47572413099852, 1.47572413099852, 1.47572413099852, 1.47572413099852
12650, 25633, 25633, 25376, 25376, 21504, 1.49066979231892, 1.49066979231892, 1.47572413099852, 1.47572413099852
12700, 25633, 25633, 25633, 25633, 21504, 1.49066979231892, 1.49066979231892, 1.49066979231892, 1.49066979231892
12750, 25888, 25888, 25633, 25633, 21760, 1.50549914499092, 1.50549914499092, 1.49066979231892, 1.49066979231892
12800, 25888, 25888, 25888, 25888, 21760, 1.50549914499092, 1.50549914499092, 1.50549914499092, 1.50549914499092
12850, 26142, 26142, 25888, 25888, 22016, 1.52027034333871, 1.52027034333871, 1.50549914499092, 1.50549914499092
12900, 26178, 26178, 26178, 26178, 22016, 1.52025536373241, 1.52025536373241, 1.52025536373241, 1.52025536373241
12950, 26431, 26431, 26178, 26178, 22272, 1.5349480295978, 1.5349480295978, 1.52025536373241, 1.52025536373241
13000, 26431, 26431, 26431, 26431, 22272, 1.5349480295978, 1.5349480295978, 1.5349480295978, 1.5349480295978
13050, 26683, 26683, 26431, 26431, 22528, 1.54958262168507, 1.54958262168507, 1.5349480295978, 1.5349480295978
13100, 26683, 26683, 26683, 26683, 22528, 1.54958262168507, 1.54958262168507, 1.54958262168507, 1.54958262168507
13150, 26933, 26933, 26683, 26683, 22784, 1.56410106621609, 1.56410106621609, 1.54958262168507, 1.54958262168507
13200, 26933, 26933, 26933, 26933, 22784, 1.56410106621609, 1.56410106621609, 1.56410106621609, 1.56410106621609
13250, 27183, 26933, 26933, 26933, 23040, 1.57861951074712, 1.56410106621609, 1.56410106621609, 1.56410106621609
