time, m1_pwm, set_pwm, voltage
24000, 49066, 56064, 2.87318153387797
24050, 49161, 56320, 2.87876104703015
24100, 49161, 56320, 2.87876104703015
24150, 49255, 56576, 2.88427201438932
24200, 49255, 56576, 2.88427201438932
24250, 49348, 56832, 2.88971443595548
24300, 49348, 56832, 2.88971443595548
24350, 49440, 57088, 2.89508831172864
24400, 49508, 57088, 2.89508831172864
24450, 49530, 57344, 2.90039364170878
24500, 49530, 57344, 2.90039364170878
24550, 49620, 57600, 2.90563042589593
24600, 49620, 57600, 2.90563042589593
24650, 49708, 57856, 2.91079866429006
24700, 49708, 57856, 2.91079866429006
24750, 49864, 58112, 2.91589835689118
24800, 49795, 58112, 2.91589835689118
24850, 49881, 58368, 2.9209295036993
24900, 49950, 58368, 2.9209295036993
24950, 49966, 58624, 2.92589210471441
25000, 50035, 58624, 2.92589210471441
25050, 50118, 58880, 2.93078615993652
25100, 50049, 58880, 2.93078615993652
25150, 50201, 59136, 2.93561166936561
25200, 50201, 59136, 2.93561166936561
25250, 50282, 59392, 2.9403686330017
25300, 50282, 59392, 2.9403686330017
25350, 50293, 59648, 2.94505705084478
25400, 50362, 59648, 2.94505705084478
25450, 50441, 59904, 2.94967692289486
25500, 50441, 59904, 2.94967692289486
25550, 50519, 60160, 2.95422824915192
25600, 50519, 60160, 2.95422824915192
25650, 50596, 60416, 2.95871102961598
25700, 50596, 60416, 2.95871102961598
25750, 50671, 60672, 2.96312526428703
25800, 50671, 60672, 2.96312526428703
25850, 50746, 60928, 2.96747095316507
25900, 50746, 60928, 2.96747095316507
25950, 50819, 61184, 2.97174809625011
26000, 50819, 61184, 2.97174809625011
26050, 0, 61184, 2.97174809625011
26100, 0, 61184, 2.97174809625011
